Molecules,58000000,114000000,128000000,130000000,137000000,605000000,639000000,641000000,646000000,660000000,690000000,693000000,716000000,723000000,960000000,987000000,1040000000,1110000000,1113000000,1234000000,1253000000,1256000000,1365000000,1370000000,1375000000
788158,2.8372492,-0.106369386,11.85,-0.300036871,0,427,0,1,0,0,16,0,0.72088589,3,-157.443229,-5.28728668,-0.040902977,0.0496608002,0.0359110211,1.09591983,4.43158089,3.72452002,0,0,0
969710,3.38593788,-0.0161059,11.9937176,-0.359875533,3,357,0,1,1,0,20,0,0.822597099,3,-30.0383984,15.9592153,-0.017535075,0.0809208452,-0.103447574,0.953603043,4.04686341,3.23262696,0,0,0
1093805,3.06210971,0.0205374746,11.9966576,-0.337988694,1,647,0,0,1,0,14,0,0.837733306,3,59.2876692,10.4720162,-0.00145530382,0.020243436,-0.0779789884,1.13674727,4.02760572,3.37882603,0,0,0
1246987,3.1842561,-0.0447796132,11.85,-0.347757949,1,550,0,0,1,0,22,0,0.797887797,3,687.013277,2.30341756,-0.0280311939,-0.0963574795,-0.168537574,1.17683027,3.99691014,3.34768377,0,0,0
1247740,3.33730994,0.0574264488,11.85,-0.312546468,3,376,0,0,2,0,19,0,0.947987963,3,43.5518146,6.37874328,0.0169724447,0.0461216944,-0.0983144536,0.916327203,4.06250837,2.8100765,0,0,0
1324119,3.05163289,-0.0624910359,11.85,-0.346990762,2,702,0,0,1,0,14,2,0.856984656,3,134.509591,-3.23142061,0.0380732944,0.139040713,-0.0890938486,1.28967893,3.98088654,3.32529037,0,0,0
2208067,3.3231428,0.0610468649,11.85,-0.320610971,2,622,0,1,1,0,21,0,0.760990213,4,-249.051275,-0.919241006,0.0149873303,0.092494769,-0.101774702,1.2573328,3.98220632,3.76681614,0,0,0
3237184,3.31805679,-0.148295224,11.85,-0.346984461,2,998,0,1,1,0,21,0,0.905750152,4,262.948219,3.42682628,0.0197602081,0.0103431049,0.109643222,1.376966,4.02022696,3.79062978,0,0,0
3240170,3.01625017,-0.165800291,11.85,-0.348735113,1,877,0,1,1,0,20,0,0.807646635,4,256.551706,16.2637999,-0.0554080495,0.00417441971,-0.073110381,1.31329994,4.00891454,3.75876089,0,0,0
4120148,3.03927163,-0.118793926,11.9,-0.339760774,2,785,0,0,1,0,14,0,0.940780422,3,-238.760365,-1.14772135,0.00624524027,0.0754647373,-0.00940798134,1.19857997,4.16351303,3.37667258,0,0,0
656333,3.20939481,-0.121633682,11.85,-0.378231435,1,524,0,0,1,0,14,2,0.758420237,2,-297.494633,-3.70344368,-0.032876186,-0.0173956694,-0.11529752,1.18527072,4.10102988,3.28424971,0,0,0
659401,2.72775921,-0.163327953,11.9883455,-0.28639388,0,278,0,1,0,0,15,0,0.882018318,3,-323.115446,-9.89362377,-0.0863797093,0.07048044,-0.324207569,0.803846598,4.60577737,3.26305798,0,0,0
664129,2.93655136,-0.00212831831,11.85,-0.340875065,2,536,0,0,1,0,15,0,0.908190003,3,206.912824,5.88180437,-0.0649426799,0.147222391,-0.040031257,0.960278991,3.96075971,3.17680338,0,0,0
794420,2.81541073,0.128052903,11.9884154,-0.249850307,2,208,0,1,0,0,14,0,0.704129442,2,-273.299266,-5.91511952,0.000121222129,0.0726642998,-0.193421576,0.746008703,3.79436581,2.94500825,0,0,0
892477,3.40454792,-0.053682562,11.85,-0.320604717,3,387,0,0,2,0,14,0,0.807075274,3,-292.759643,-0.397006762,-0.0347251308,0.0928719072,-0.15484091,0.929116793,3.97570352,3.02450925,0,0,0
913778,2.90617595,0.00756143933,11.85,-0.375521722,3,561,0,0,1,0,19,0,0.89694135,3,-675.035083,-20.2841874,-0.0150477904,0.0420452719,-0.0535026833,1.26511602,3.93900106,3.28988121,0,0,0
3238488,3.23447129,-0.0234808128,11.9966756,-0.338007387,2,527,0,0,2,0,16,0,0.909908075,3,-167.398862,4.65685674,-0.0124859428,-0.0235823984,0.0779857368,1.0979645,4.06502644,3.27504522,0,0,0
727263,2.91252321,-0.0810945252,11.9883774,-0.302823778,1,237,0,1,0,0,14,0,0.953648719,2,32.972287,-4.47994016,-0.0506899251,0.0523753587,-0.162185321,0.806225744,4.28542729,3.14843662,0,0,0
1296011,2.72212683,-0.0440633886,11.85,-0.255713365,1,465,0,1,0,0,22,3,0.733720276,3,-635.120904,-13.8346898,0.0105333399,0.0815707778,-0.0828963741,1.05826267,4.37084051,3.66812227,1,2,0
