outer_fold,feature,mean_abs_shap,rank,n_explained_samples,n_background_samples,n_explained_actives,selected
5,1029000000,0.010767412877475369,31,60,40,24,True
5,1428000000,0.010675095406272638,32,60,40,24,True
5,1383000000,0.010586211522667784,33,60,40,24,True
5,715000000,0.01054351741924798,34,60,40,24,True
5,1394000000,0.010533690007584478,35,60,40,24,True
5,966000000,0.010383543474205241,36,60,40,24,True
5,1025000000,0.010301186096779404,37,60,40,24,True
5,37000000,0.010090028483413862,38,60,40,24,True
5,698000000,0.009920922219839926,39,60,40,24,True
5,928000000,0.009772104699527294,40,60,40,24,True
5,1159000000,0.009765255224164038,41,60,40,24,True
5,36000000,0.009757895476656253,42,60,40,24,True
5,884000000,0.009754953203094503,43,60,40,24,True
5,1184000000,0.009753034520289498,44,60,40,24,True
5,1397000000,0.009713778725087035,45,60,40,24,True
5,1236000000,0.009597380352552358,46,60,40,24,True
5,159000000,0.009525751823836899,47,60,40,24,True
5,1386000000,0.009517115029057544,48,60,40,24,True
5,1100000000,0.009398709440309625,49,60,40,24,True
5,1004000000,0.009211200341840938,50,60,40,24,True
